useridx,threshold,conditionC,block,day,t0SC,t1
1,45,0.5,3904,2021-10-17,-0.0391120117029366,0
1,45,0.5,3904,2021-10-18,-0.0391120117029366,0
1,45,0.5,3904,2021-10-19,-0.0391120117029366,0
1,45,0.5,3904,2021-10-20,-0.0391120117029366,0
1,45,0.5,3904,2021-10-21,-0.0391120117029366,0
1,45,0.5,3904,2021-10-22,-0.0391120117029366,0
1,45,0.5,3904,2021-10-23,-0.0391120117029366,0
1,45,0.5,3904,2021-10-24,-0.0391120117029366,0
2,45,0.5,3655,2021-10-17,0.0163398548033011,1
2,45,0.5,3655,2021-10-18,0.0163398548033011,5
2,45,0.5,3655,2021-10-19,0.0163398548033011,0
2,45,0.5,3655,2021-10-20,0.0163398548033011,4
2,45,0.5,3655,2021-10-21,0.0163398548033011,1
2,45,0.5,3655,2021-10-22,0.0163398548033011,1
2,45,0.5,3655,2021-10-23,0.0163398548033011,1
2,45,0.5,3655,2021-10-24,0.0163398548033011,1
3,45,-0.5,4816,2021-10-17,-0.0803337941012653,0
3,45,-0.5,4816,2021-10-18,-0.0803337941012653,0
3,45,-0.5,4816,2021-10-19,-0.0803337941012653,0
3,45,-0.5,4816,2021-10-20,-0.0803337941012653,0
3,45,-0.5,4816,2021-10-21,-0.0803337941012653,0
3,45,-0.5,4816,2021-10-22,-0.0803337941012653,0
3,45,-0.5,4816,2021-10-23,-0.0803337941012653,0
3,45,-0.5,4816,2021-10-24,-0.0803337941012653,0
4,45,0.5,5337,2021-10-17,-0.0151564333059869,0
4,45,0.5,5337,2021-10-18,-0.0151564333059869,0
4,45,0.5,5337,2021-10-19,-0.0151564333059869,0
4,45,0.5,5337,2021-10-20,-0.0151564333059869,0
4,45,0.5,5337,2021-10-21,-0.0151564333059869,0
4,45,0.5,5337,2021-10-22,-0.0151564333059869,1
4,45,0.5,5337,2021-10-23,-0.0151564333059869,0
4,45,0.5,5337,2021-10-24,-0.0151564333059869,0
5,45,-0.5,2916,2021-10-17,0.141652297757571,10
5,45,-0.5,2916,2021-10-18,0.141652297757571,8
5,45,-0.5,2916,2021-10-19,0.141652297757571,6
5,45,-0.5,2916,2021-10-20,0.141652297757571,11
5,45,-0.5,2916,2021-10-21,0.141652297757571,11
5,45,-0.5,2916,2021-10-22,0.141652297757571,8
5,45,-0.5,2916,2021-10-23,0.141652297757571,11
5,45,-0.5,2916,2021-10-24,0.141652297757571,11
6,45,0.5,3159,2021-10-17,-0.0803337941012653,0
6,45,0.5,3159,2021-10-18,-0.0803337941012653,0
6,45,0.5,3159,2021-10-19,-0.0803337941012653,0
6,45,0.5,3159,2021-10-20,-0.0803337941012653,0
6,45,0.5,3159,2021-10-21,-0.0803337941012653,0
6,45,0.5,3159,2021-10-22,-0.0803337941012653,0
6,45,0.5,3159,2021-10-23,-0.0803337941012653,0
6,45,0.5,3159,2021-10-24,-0.0803337941012653,0
7,45,-0.5,2049,2021-10-17,0.0532400473236153,2
7,45,-0.5,2049,2021-10-18,0.0532400473236153,3
7,45,-0.5,2049,2021-10-19,0.0532400473236153,1
7,45,-0.5,2049,2021-10-20,0.0532400473236153,0
7,45,-0.5,2049,2021-10-21,0.0532400473236153,1
7,45,-0.5,2049,2021-10-22,0.0532400473236153,1
7,45,-0.5,2049,2021-10-23,0.0532400473236153,1
7,45,-0.5,2049,2021-10-24,0.0532400473236153,0
8,45,0.5,2673,2021-10-17,-0.0391120117029366,1
8,45,0.5,2673,2021-10-18,-0.0391120117029366,0
8,45,0.5,2673,2021-10-19,-0.0391120117029366,0
8,45,0.5,2673,2021-10-20,-0.0391120117029366,0
8,45,0.5,2673,2021-10-21,-0.0391120117029366,0
8,45,0.5,2673,2021-10-22,-0.0391120117029366,1
8,45,0.5,2673,2021-10-23,-0.0391120117029366,0
8,45,0.5,2673,2021-10-24,-0.0391120117029366,0
9,45,-0.5,4870,2021-10-17,0.00711081149809806,0
9,45,-0.5,4870,2021-10-18,0.00711081149809806,0
9,45,-0.5,4870,2021-10-19,0.00711081149809806,1
9,45,-0.5,4870,2021-10-20,0.00711081149809806,0
9,45,-0.5,4870,2021-10-21,0.00711081149809806,0
9,45,-0.5,4870,2021-10-22,0.00711081149809806,1
9,45,-0.5,4870,2021-10-23,0.00711081149809806,0
9,45,-0.5,4870,2021-10-24,0.00711081149809806,0
10,45,0.5,5367,2021-10-17,-0.0151564333059869,0
10,45,0.5,5367,2021-10-18,-0.0151564333059869,0
10,45,0.5,5367,2021-10-19,-0.0151564333059869,0
10,45,0.5,5367,2021-10-20,-0.0151564333059869,0
10,45,0.5,5367,2021-10-21,-0.0151564333059869,2
10,45,0.5,5367,2021-10-22,-0.0151564333059869,0
10,45,0.5,5367,2021-10-23,-0.0151564333059869,0
10,45,0.5,5367,2021-10-24,-0.0151564333059869,0
11,45,0.5,4078,2021-10-17,0.141652297757571,1
11,45,0.5,4078,2021-10-18,0.141652297757571,0
11,45,0.5,4078,2021-10-19,0.141652297757571,0
11,45,0.5,4078,2021-10-20,0.141652297757571,1
11,45,0.5,4078,2021-10-21,0.141652297757571,0
11,45,0.5,4078,2021-10-22,0.141652297757571,3
11,45,0.5,4078,2021-10-23,0.141652297757571,1
11,45,0.5,4078,2021-10-24,0.141652297757571,0
12,45,-0.5,2892,2021-10-17,-0.0391120117029366,0
12,45,-0.5,2892,2021-10-18,-0.0391120117029366,0
12,45,-0.5,2892,2021-10-19,-0.0391120117029366,0
12,45,-0.5,2892,2021-10-20,-0.0391120117029366,1
12,45,-0.5,2892,2021-10-21,-0.0391120117029366,0
12,45,-0.5,2892,2021-10-22,-0.0391120117029366,0
12,45,-0.5,2892,2021-10-23,-0.0391120117029366,0
12,45,-0.5,2892,2021-10-24,-0.0391120117029366,0
13,45,-0.5,848,2021-10-17,0.0398473209909522,0
13,45,-0.5,848,2021-10-18,0.0398473209909522,3
13,45,-0.5,848,2021-10-19,0.0398473209909522,0
13,45,-0.5,848,2021-10-20,0.0398473209909522,1
13,45,-0.5,848,2021-10-21,0.0398473209909522,1
13,45,-0.5,848,2021-10-22,0.0398473209909522,2
13,45,-0.5,848,2021-10-23,0.0398473209909522,0
13,45,-0.5,848,2021-10-24,0.0398473209909522,0
14,45,-0.5,4980,2021-10-17,-0.0803337941012653,0
14,45,-0.5,4980,2021-10-18,-0.0803337941012653,0
14,45,-0.5,4980,2021-10-19,-0.0803337941012653,0
14,45,-0.5,4980,2021-10-20,-0.0803337941012653,0
14,45,-0.5,4980,2021-10-21,-0.0803337941012653,0
14,45,-0.5,4980,2021-10-22,-0.0803337941012653,0
14,45,-0.5,4980,2021-10-23,-0.0803337941012653,0
14,45,-0.5,4980,2021-10-24,-0.0803337941012653,0
15,45,0.5,4182,2021-10-17,-0.00321490079791809,0
15,45,0.5,4182,2021-10-18,-0.00321490079791809,0
15,45,0.5,4182,2021-10-19,-0.00321490079791809,0
15,45,0.5,4182,2021-10-20,-0.00321490079791809,0
15,45,0.5,4182,2021-10-21,-0.00321490079791809,0
15,45,0.5,4182,2021-10-22,-0.00321490079791809,0
15,45,0.5,4182,2021-10-23,-0.00321490079791809,0
15,45,0.5,4182,2021-10-24,-0.00321490079791809,0
16,45,-0.5,4086,2021-10-17,0.0118409134951019,1
16,45,-0.5,4086,2021-10-18,0.0118409134951019,1
16,45,-0.5,4086,2021-10-19,0.0118409134951019,2
16,45,-0.5,4086,2021-10-20,0.0118409134951019,1
16,45,-0.5,4086,2021-10-21,0.0118409134951019,2
16,45,-0.5,4086,2021-10-22,0.0118409134951019,0
16,45,-0.5,4086,2021-10-23,0.0118409134951019,0
16,45,-0.5,4086,2021-10-24,0.0118409134951019,0
