trucker,outcome,winsorize,threshold,estimate,se,low,high,pval,n_exps
domain,count,0.9,40,-0.0222035135160725,0.0122849968650457,-0.0462816649217495,0.00187463788960456,0.0707048780420269,3
domain,count,0.925,40,-0.0199270439337338,0.0123534726849195,-0.0441394054801754,0.0042853176127078,0.106728812708799,3
domain,count,0.95,40,-0.0193673642552839,0.0124825884701556,-0.0438327880906239,0.00509805958005599,0.12076985586858,3
domain,count,0.975,40,-0.0203995908376991,0.0128712401482655,-0.0456267579646656,0.00482757628926729,0.112989721660741,3
domain,count,0.99,40,-0.0166099146051102,0.013676870323033,-0.0434160878594796,0.0101962586492592,0.224574831433916,3
domain,frac,0.9,40,-0.000161999668114601,0.000102657043720647,-0.000363203776566423,3.92044403372209e-05,0.114550274156239,3
domain,frac,0.925,40,-0.000160071799295351,0.000107909118085135,-0.000371569784345696,5.14261857549938e-05,0.137969610559607,3
domain,frac,0.95,40,-0.000151040391191697,0.000115237125863526,-0.000376901007566117,7.48202251827221e-05,0.189961806728709,3
domain,frac,0.975,40,-0.000111886636747223,0.000126489102593993,-0.000359800722268242,0.000136027448773795,0.376396393550455,3
domain,frac,0.99,40,-7.10828265689005e-05,0.000144022000436341,-0.000353360760405542,0.000211195107267741,0.62162025179961,3
domain,sum,0.9,40,-0.0187981546428802,0.00937139322758626,-0.0371657478539118,-0.00043056143184856,0.0448660418304748,3
domain,sum,0.925,40,-0.0195466177480731,0.00958555070683157,-0.0383339519054455,-0.00075928359070079,0.0414325402242175,3
domain,sum,0.95,40,-0.0194765904082099,0.00987718769701769,-0.0388355225629067,-0.00011765825351312,0.0486237516441415,3
domain,sum,0.975,40,-0.0199030654370527,0.01038976210554,-0.0402666249718502,0.000460494097744724,0.0554106701478361,3
domain,sum,0.99,40,-0.0201092159581274,0.0110838874510428,-0.0418332361708668,0.00161480425461206,0.0696354532615548,3
domain,count,0.9,45,-0.0244600345206512,0.012004706552448,-0.0479888270084213,-0.000931242032881068,0.0415962518248247,3
domain,count,0.925,45,-0.022560467458614,0.0121054695536451,-0.0462867517997045,0.00116581688247651,0.062369604473576,3
domain,count,0.95,45,-0.0231015927184295,0.0122416381953779,-0.04709476269314,0.000891577256281022,0.05914251265434,3
domain,count,0.975,45,-0.0233665210302062,0.012642415697557,-0.0481452004750017,0.00141215841458937,0.0645641698077737,3
domain,count,0.99,45,-0.0182051265484521,0.0133688652692617,-0.0444076209903735,0.00799736789346918,0.17327504211027,3
domain,frac,0.9,45,-0.000198038886725699,0.000106754278318888,-0.000407273427426284,1.11956539748865e-05,0.0635832517762062,3
domain,frac,0.925,45,-0.000194117111978429,0.000112690000600625,-0.000414985454573451,2.6751230616594e-05,0.0849651936611199,3
domain,frac,0.95,45,-0.000184620251068553,0.000120032044247615,-0.000419878734784597,5.06382326474908e-05,0.124026276428835,3
domain,frac,0.975,45,-0.000150242887422334,0.000137835041716877,-0.000420394604994989,0.00011990883015032,0.275704541056594,3
domain,frac,0.99,45,-9.33077934242e-05,0.000151352783425717,-0.000389953797898496,0.000203338211050096,0.53756979245402,3
domain,sum,0.9,45,-0.0187576062850346,0.0093679759781396,-0.0371185018102246,-0.000396710759844592,0.0452512370480048,3
domain,sum,0.925,45,-0.0195136930159059,0.00958577758999853,-0.0383014718561142,-0.00072591417569759,0.0417812692108567,3
domain,sum,0.95,45,-0.0192850787710449,0.00990243155234977,-0.0386934879730235,0.000123330430933752,0.0514736910098004,3
domain,sum,0.975,45,-0.0197060633440355,0.0103945904779115,-0.040079086314785,0.000666959626714002,0.0579865122271795,3
domain,sum,0.99,45,-0.0199743349195714,0.0110938228977336,-0.041717828249995,0.00176915841085223,0.0717830490470199,3
domain,count,0.9,50,-0.0262377337893406,0.0116844861763545,-0.0491389058728515,-0.00333656170582963,0.0247348444572838,3
domain,count,0.925,50,-0.0250012809833984,0.0118480604181581,-0.0482230526896429,-0.00177950927715399,0.0348447378835202,3
