trucker,outcome,winsorize,threshold,estimate,se,low,high,pval,n_exps,Qm,Qm_pval,I2,I_resid
domain,count,0.9,40,0.000586307608615284,0.00939482562834896,-0.0178272122639826,0.0189998274812131,0.950238320076305,4,8.28900757082204,0.00398857809975875,0.68770503132474,0
domain,count,0.925,40,0.00258486759210061,0.0095075047003097,-0.0160494992033517,0.0212192343875529,0.78571694146902,4,8.14563904328393,0.00431648410008264,0.649996916378606,0
domain,count,0.95,40,0.00242164448448341,0.00974030386045318,-0.0166690002804813,0.0215122892494481,0.803653931167786,4,7.79043732060458,0.00525234807434076,0.623495669196053,0
domain,count,0.975,40,-0.00055326529840998,0.0102508233178225,-0.0206445098132255,0.0195379792164055,0.956956861398221,4,6.50074682504166,0.010782919010223,0.554818092280162,0
domain,count,0.99,40,-0.000346017707748295,0.0112431652258796,-0.0223822166227054,0.0216901812072088,0.975448318558161,4,4.36146725040506,0.0367606305162096,0.347205470414408,0
domain,frac,0.9,40,-9.64188125031032e-05,7.71316199331904e-05,-0.000247594009641388,5.47563846351817e-05,0.211279241872291,4,0.937171108104382,0.333006423690484,0,0
domain,frac,0.925,40,-0.000106505486233208,8.30460798812978e-05,-0.000269272811857788,5.62618393913715e-05,0.199671995864746,4,0.604362944291065,0.436918190468697,0,0
domain,frac,0.95,40,-0.000107928570150118,8.86265502781023e-05,-0.000281633416769226,6.57762764689913e-05,0.223303598888701,4,0.342608880610255,0.558327183680893,0,0
domain,frac,0.975,40,-9.69107165753652e-05,9.7006914332733e-05,-0.000287040774918884,9.32193417681539e-05,0.317790650595969,4,0.0340374902597702,0.853627093929616,0,0
domain,frac,0.99,40,-7.34327798979849e-05,0.000112830629812972,-0.000294576750684382,0.000147711190888412,0.51516068890315,4,0.000689286857115527,0.979054527089103,0,0
domain,sum,0.9,40,-0.00444618284206836,0.00685668084177704,-0.0178850303454371,0.0089926646613004,0.516696943542305,4,5.04740138619248,0.0246628999184047,0.544266982921813,0
domain,sum,0.925,40,-0.00430634827788797,0.00702744225439748,-0.018079881999942,0.00946718544416606,0.540015021412875,4,5.46535602787717,0.0193971018396556,0.556641966713464,0
domain,sum,0.95,40,-0.00401624853294647,0.00724551916401539,-0.0182172051437114,0.0101847080778185,0.5793681427067,4,5.30437936910506,0.0212718769726281,0.541776487691494,0
domain,sum,0.975,40,-0.00428793998360448,0.00769614558826039,-0.0193721081563717,0.0107962281891627,0.577422065921952,4,5.00512443337306,0.025272386687747,0.513837512317923,0
domain,sum,0.99,40,-0.00461160443320999,0.00836854968434264,-0.0210136604173556,0.0117904515509356,0.581589968969357,4,4.54707021008234,0.0329751243207477,0.47857674187179,0
domain,count,0.9,45,-0.000793057890783799,0.00918342749051043,-0.0187922450268193,0.0172061292452517,0.931182226316755,4,9.29497209167628,0.00229783641643451,0.730408130564337,0.485818051203858
domain,count,0.925,45,0.000833423410588096,0.00932586547420212,-0.0174449370435136,0.0191117838646898,0.928790351737581,4,9.18697962830861,0.0024374276720783,0.700094743729593,0
domain,count,0.95,45,0.00040813064979107,0.00948389620668799,-0.0181799643484334,0.0189962256480156,0.965674375357028,4,9.22509693444357,0.00238720054956776,0.692408747807084,0
domain,count,0.975,45,-0.00179593339231466,0.00997983386216722,-0.0213560483338557,0.0177641815492264,0.857186921536098,4,7.72476362814015,0.00544684904421868,0.63416793354166,0
